Source,Target,Weight,Type
П.Г.Левшин,П.П.Петров-Шапошников,1,directed
П.Г.Левшин,И.Грешищев,1,directed
П.Г.Левшин,М.Гумилевский,1,directed
П.Г.Левшин,Е.Р.Дашкова,1,directed
П.Г.Левшин,ЕкатеринаII,1,directed
П.Г.Левшин,И.П.Елагин,1,directed
П.Г.Левшин,А.С.Зертис-Каменский,1,directed
П.Г.Левшин,Д.Ильин,1,directed
П.Г.Левшин,Е.И.Костров,1,directed
П.Г.Левшин,Г.А.Криновский,1,directed
П.Г.Левшин,А.Г.Левшин,1,directed
П.Г.Левшин,В.И.Майков,1,directed
П.Г.Левшин,М.И.Невзоров,1,directed
П.Г.Левшин,Н.И.Новиков,1,directed
П.Г.Левшин,Н.И.Панин,1,directed
П.Г.Левшин,Д.С.Семенов-Руднев,1,directed
П.Г.Левшин,А.П.Сумароков,1,directed
П.Г.Левшин,Д.И.Фонвизин,1,directed
П.Г.Левшин,И.И.Шувалов,1,directed
Д.Д.Легкой,С.П.Кулябка,1,directed
Д.Д.Легкой,М.В.Ломоносов,1,directed
Д.Д.Легкой,Д.Е.Мокеев,1,directed
А.Л.Леонтьев,ЕкатеринаII,1,directed
А.Л.Леонтьев,И.И.Кропотов,1,directed
А.Л.Леонтьев,Н.И.Новиков,1,directed
А.Л.Леонтьев,И.К.Россохин,1,directed
Н.В.Леонтьев,ЕкатеринаII,1,directed
Н.В.Леонтьев,И.И.Лепехин,1,directed
Н.В.Леонтьев,Н.Е.Муравьев,1,directed
Н.В.Леонтьев,Н.И.Новиков,1,directed
Н.В.Леонтьев,А.П.Сумароков,1,directed
Н.В.Леонтьев,Д.И.Фонвизин,1,directed
И.И.Лепехин,Е.Р.Дашкова,1,directed
И.И.Лепехин,А.Я.Поленов,1,directed
Е.Ф.Лифанов,О.П.Козодавлев,1,directed
Е.Ф.Лифанов,Н.С.Краснопольский,1,directed
Е.Ф.Лифанов,А.Ф.Лабзин,1,directed
А.Л.Лихачев,И.П.Елагин,1,directed
А.Л.Лихачев,И.И.Завалишин,1,directed
А.Л.Лихачев,Н.М.Карамзин,1,directed
А.Л.Лихачев,Н.И.Новиков,1,directed
А.К.Лобысевич,Г.О.Конисский,1,directed
Ф.Л.Лопатинский,Ф.Кролик,1,directed
Ф.Л.Лопатинский,П.Г.Левшин,1,directed
Ф.Л.Лопатинский,Е.Прокопович,1,directed
Ф.Л.Лопатинский,А.Юшкевич,1,directed
Ф.Л.Лопатинский,С.И.Яворский,1,directed
А.В.Лопухин,Н.М.Карамзин,1,directed
А.И.Лужков,ЕкатеринаII,1,directed
А.И.Лужков,В.П.Петров,1,directed
А.И.Лужков,П.И.Сумароков,1,directed
Г.М.Лукашевич,ЕкатеринаII,1,directed
А.Львов,Г.В.Козицкий,1,directed
А.Львов,Н.И.Новиков,1,directed
И.Ф.Львов,И.П.Степанов,1,directed
Н.А.Львов,Б.Ф.Арндт,1,directed
Н.А.Львов,Я.И.Булгаков,1,directed
Н.А.Львов,Е.Булгарис,1,directed
Н.А.Львов,П.Л.Вельяминов,1,directed
Н.А.Львов,Е.Р.Воронцова,1,directed
Н.А.Львов,Г.Р.Державин,1,directed
Н.А.Львов,ЕкатеринаII,1,directed
Н.А.Львов,В.В.Капнист,1,directed
Н.А.Львов,Н.М.Карамзин,1,directed
Н.А.Львов,Я.Б.Княжнин,1,directed
Н.А.Львов,Н.А.Львов,1,directed
Н.А.Львов,И.И.Мартынов,1,directed
Н.А.Львов,М.Н.Муравьев,1,directed
Н.А.Львов,Н.П.Осипов,1,directed
Н.А.Львов,А.П.Сумароков,1,directed
Н.А.Львов,И.И.Хемницер,1,directed
С.Львов,Г.Р.Державин,1,directed
С.Львов,ЕкатеринаII,1,directed
Е.П.Люценко,Г.Р.Державин,1,directed
Е.П.Люценко,А.М.Котельницкий,1,directed
Е.П.Люценко,Е.В.Хераскова,1,directed
Ф.А.Ляшевецкий,Г.А.Криновский,1,directed
Ф.А.Ляшевецкий,Е.Прокопович,1,directed
Ф.А.Ляшевецкий,Д.А.Сеченов,1,directed
Ф.А.Ляшевецкий,А.П.Сумароков,1,directed
Ф.А.Ляшевецкий,С.Ф.Тодорский,1,directed
Ф.А.Ляшевецкий,А.Юшкевич,1,directed
А.Л.Магницкая,Н.М.Карамзин,1,directed
А.Л.Магницкая,Н.Л.Магницкая,1,directed
А.Л.Магницкая,М.Л.Магницкий,1,directed
А.Л.Магницкая,И.И.Мартынов,1,directed
А.Л.Магницкая,А.А.Палицын,1,directed
А.Л.Магницкая,М.М.Херасков,1,directed
А.Л.Магницкая,Е.В.Щербатова,1,directed
Н.Л.Магницкая,А.Л.Магницкая,1,directed
Н.Л.Магницкая,М.Л.Магницкий,1,directed
Н.Л.Магницкая,М.М.Херасков,1,directed
Н.Л.Магницкая,Е.В.Щербатова,1,directed
М.Л.Магницкий,А.Т.Болотов,1,directed
М.Л.Магницкий,Г.Н.Городчанинов,1,directed
М.Л.Магницкий,Г.Р.Державин,1,directed
М.Л.Магницкий,И.И.Дмитриев,1,directed
М.Л.Магницкий,Н.М.Карамзин,1,directed
М.Л.Магницкий,М.В.Ломоносов,1,directed
М.Л.Магницкий,М.Н.Муравьев,1,directed
М.Л.Магницкий,Ю.А.Нелединский-Мелецкий,1,directed
М.Л.Магницкий,М.М.Херасков,1,directed
И.А.Майков,Ф.М.Брянчанинов,1,directed
И.А.Майков,Е.Р.Дашкова,1,directed
И.А.Майков,И.И.Дмитриев,1,directed
И.А.Майков,ЕкатеринаII,1,directed
И.А.Майков,Н.М.Карамзин,1,directed
И.А.Майков,И.А.Клементьевский,1,directed
И.А.Майков,М.В.Ломоносов,1,directed
И.А.Майков,А.А.Майков,1,directed
И.А.Майков,И.И.Шувалов,1,directed
А.А.Майков,ЕкатеринаII,1,directed
В.И.Майков,Ф.Г.Волков,1,directed
В.И.Майков,И.А.Дмитревский,1,directed
В.И.Майков,ЕкатеринаII,1,directed
В.И.Майков,И.П.Елагин,1,directed
В.И.Майков,И.И.Мелиссино,1,directed
В.И.Майков,М.Н.Муравьев,1,directed
В.И.Майков,Н.П.Николев,1,directed
В.И.Майков,Н.И.Новиков,1,directed
В.И.Майков,В.П.Петров,1,directed
В.И.Майков,А.П.Сумароков,1,directed
В.И.Майков,М.М.Херасков,1,directed
П.И.Макаров,Е.А.Болховитинов,1,directed
П.И.Макаров,И.И.Дмитриев,1,directed
П.И.Макаров,И.М.Долгоруков,1,directed
П.И.Макаров,Н.М.Карамзин,1,directed
П.И.Макаров,А.И.Леванда,1,directed
П.И.Макаров,М.В.Ломоносов,1,directed
П.И.Макаров,М.Н.Муравьев,1,directed
П.И.Макаров,А.П.Сумароков,1,directed
И.П.Максимович,Г.Ф.Бужинский,1,directed
И.П.Максимович,И.Максимович,1,directed
И.П.Максимович,Е.Прокопович,1,directed
И.П.Максимович,П.А.Толстой,1,directed
И.П.Максимович,С.И.Яворский,1,directed
И.Максимович,С.И.Яворский,1,directed
Т.С.Мальгин,Г.Р.Державин,1,directed
Т.С.Мальгин,ЕкатеринаII,1,directed
Т.С.Мальгин,И.И.Лепехин,1,directed
Т.С.Мальгин,Н.Я.Озерецковский,1,directed
А.Н.Маслов,Г.Р.Державин,1,directed
А.Н.Маслов,С.А.Порошин,1,directed
М.А.Матинский,Н.П.Осипов,1,directed
М.А.Матинский,П.И.Пастухов,1,directed
М.А.Матинский,Ф.И.Янковичдемириево,1,directed
Г.В.Медведев,П.И.Богданович,1,directed
Г.В.Медведев,Н.И.Новиков,1,directed
А.К.Мейер,ЕкатеринаII,1,directed
А.К.Мейер,С.Г.Зыбелин,1,directed
А.К.Мейер,М.Комаров,1,directed
А.К.Мейер,А.К.Мейер,1,directed
А.К.Мейер,Н.И.Новиков,1,directed
А.К.Мейер,В.Г.Рубан,1,directed
И.И.Мелиссино,А.А.Барсов,1,directed
И.И.Мелиссино,И.И.Бецкой,1,directed
И.И.Мелиссино,М.И.Веревкин,1,directed
И.И.Мелиссино,И.А.Верещагин,1,directed
И.И.Мелиссино,Е.Р.Дашкова,1,directed
И.И.Мелиссино,И.М.Долгоруков,1,directed
И.И.Мелиссино,ЕкатеринаII,1,directed
И.И.Мелиссино,А.М.Кутузов,1,directed
И.И.Мелиссино,И.И.Лепехин,1,directed
И.И.Мелиссино,М.В.Ломоносов,1,directed
И.И.Мелиссино,М.Л.Магницкий,1,directed
И.И.Мелиссино,М.Н.Муравьев,1,directed
И.И.Мелиссино,Н.И.Новиков,1,directed
И.И.Мелиссино,В.Г.Рубан,1,directed
И.И.Мелиссино,А.П.Сумароков,1,directed
И.И.Мелиссино,Д.И.Фонвизин,1,directed
И.И.Мелиссино,П.И.Фонвизин,1,directed
И.И.Мелиссино,И.И.Шувалов,1,directed
А.А.Мельгунов,П.Г.Левшин,1,directed
М.Ф.Меморский,Ив.Ф.Богданович,1,directed
М.Ф.Меморский,Г.Р.Державин,1,directed
М.Ф.Меморский,М.В.Ломоносов,1,directed
М.Ф.Меморский,А.П.Сумароков,1,directed
Е.А.Меншикова,Н.И.Панин,1,directed
Е.А.Меншикова,Д.И.Фонвизин,1,directed
И.Мерзлюкин,Н.И.Даниловский,1,directed
И.И.Меркурьев,М.В.Ломоносов,1,directed
И.И.Меркурьев,Я.Я.Штелин,1,directed
И.Я.Метальников,Г.Р.Державин,1,directed
И.Я.Метальников,Ю.А.Нелединский-Мелецкий,1,directed
И.Я.Метальников,Г.Н.Теплов,1,directed
П.В.Мещерский,И.А.Дмитревский,1,directed
П.В.Мещерский,А.П.Сумароков,1,directed
Н.Микулин,И.П.Степанов,1,directed
Ф.И.Миллер,Н.Н.Бантыш-Каменский,1,directed
Ф.И.Миллер,Г.Ф.Бужинский,1,directed
Ф.И.Миллер,И.И.Голубцов,1,directed
Ф.И.Миллер,С.Г.Домашнев,1,directed
Ф.И.Миллер,А.И.Дубровский,1,directed
Ф.И.Миллер,ЕкатеринаII,1,directed
Ф.И.Миллер,И.П.Елагин,1,directed
Ф.И.Миллер,С.П.Крашенинников,1,directed
Ф.И.Миллер,П.Н.Крекшин,1,directed
Ф.И.Миллер,В.И.Лебедев,1,directed
Ф.И.Миллер,Н.Н.Мотонис,1,directed
Ф.И.Миллер,А.А.Нартов,1,directed
Ф.И.Миллер,Н.И.Новиков,1,directed
Ф.И.Миллер,А.В.Олсуфьев,1,directed
Ф.И.Миллер,Н.И.Панин,1,directed
Ф.И.Миллер,Н.И.Попов,1,directed
Ф.И.Миллер,Н.Н.Поповский,1,directed
Ф.И.Миллер,С.А.Порошин,1,directed
Ф.И.Миллер,П.И.Рычков,1,directed
Ф.И.Миллер,А.П.Сумароков,1,directed
Ф.И.Миллер,В.Н.Татищев,1,directed
Ф.И.Миллер,Г.Н.Теплов,1,directed
Ф.И.Миллер,В.К.Тредиаковский,1,directed
Ф.И.Миллер,М.М.Херасков,1,directed
Ф.И.Миллер,М.М.Щербатов,1,directed
С.Г.Миславский,ЕкатеринаII,1,directed
С.Г.Миславский,И.В.Леванда,1,directed
С.Г.Миславский,М.В.Ломоносов,1,directed
С.Г.Миславский,Е.Прокопович,1,directed
С.М.Митрофанов,И.И.Голиков,1,directed
С.М.Митрофанов,Г.Р.Державин,1,directed
С.М.Митрофанов,И.И.Дмитриев,1,directed
С.М.Митрофанов,Н.А.Львов,1,directed
А.Могилянский,Г.А.Полетика,1,directed
Т.И.Можайский,П.И.Богданович,1,directed
Т.И.Можайский,Ф.Н.Голицын,1,directed
Т.И.Можайский,И.И.Шувалов,1,directed
Ф.П.Моисеенков,Г.Л.Брайко,1,directed
Ф.П.Моисеенков,В.И.Крамаренков,1,directed
Ф.П.Моисеенков,А.А.Нартов,1,directed
Ф.П.Моисеенков,И.И.Хемницер,1,directed
Д.Е.Мокеев,Г.В.Козицкий,1,directed
Д.Е.Мокеев,Д.Д.Легкой,1,directed
Д.Е.Мокеев,М.В.Ломоносов,1,directed
П.С.Молчанов,Г.Р.Державин,1,directed
П.С.Молчанов,И.И.Дмитриев,1,directed
П.С.Молчанов,ЕкатеринаII,1,directed
П.С.Молчанов,Н.М.Карамзин,1,directed
И.Г.Морозов,П.П.Бекетов,1,directed
И.Г.Морозов,И.И.Дмитриев,1,directed
